Document,Total_Chunks,Asterius_Chunks,Asterius_Match_Percentage,Mean_Distance_to_Asterius,Final_Classification
CPG4571_InPraecursoremDomini.xml,1,1,100.0,0.1086,Core-Asterius
CPG4510_InSanctumRomanumMartyremHomilia2.xml,2,2,100.0,0.1185,Core-Asterius
CPG4690_InSanctumStephanumHomilia1.xml,1,1,100.0,0.1332,Core-Asterius
PSBasilius_2040033_InBarlaamMartyrem.xml,1,1,100.0,0.1737,Core-Asterius
CPG2861_InBarlaamMartyrem.xml,1,1,100.0,0.1737,Core-Asterius
CPG4996_1_InResurrectionemDomini.xml,1,1,100.0,0.1964,Core-Asterius
CPG4749_InSynaximIncorporalium.xml,2,2,100.0,0.2205,Core-Asterius
CPG5064_InNataleDomini.txt,1,1,100.0,0.2234,Core-Asterius
CPG4573_InDuodecimApostolos.txt,1,1,100.0,0.2239,Core-Asterius
CPG5818_InSanctumAndreamApostolum.txt,1,1,100.0,0.2393,Core-Asterius
tlg2022_043.xml,1,1,100.0,0.243,Core-Asterius
CPG4632_DeSpe.xml,1,1,100.0,0.2466,Core-Asterius
CPG4858_InVerEtInResurrectionem.txt,1,1,100.0,0.2498,Core-Asterius
CPG5004_InSanctamTheophaniam.txt,1,1,100.0,0.2536,Core-Asterius
CPG4706_AdEosQuiMagniAestimantOpes.xml,2,1,50.0,0.2718,Core-Asterius
CPG5831_InSanctumPascha.txt,1,1,100.0,0.2743,Core-Asterius
CPG4699_QuodMariSimilisSitHaecVita.txt,1,1,100.0,0.2751,Core-Asterius
CPG4657_InNataleDNIC.xml,2,1,50.0,0.2811,Core-Asterius
CPG4888_InAdamEtDePaenitentia.txt,2,1,50.0,0.2814,Core-Asterius
CPG4535_InAscensionemSermo5.xml,1,1,100.0,0.2843,Core-Asterius
CPG4740_InResurrectionemDomini.xml,1,1,100.0,0.2852,Core-Asterius
CPG4608_InPaschaSermo3.xml,1,1,100.0,0.2884,Core-Asterius
CPG4737_InChristiAscensionem.xml,1,1,100.0,0.2964,Core-Asterius
AsteriusIgnotus_HomiliainferiamVinfraOctauamPaschae.txt,1,1,100.0,0.2969,Core-Asterius
CPG4553_InPsalmum139.xml,2,1,50.0,0.3038,Core-Asterius
CPG4537_InPentecostenSermo2.xml,1,1,100.0,0.3131,Core-Asterius
CPG4519_InAnnuntiationemBeataeVirginis.xml,2,1,50.0,0.3208,Grey Zone (Mixed/Edited)
AsteriusIgnotus_InPsalmum1.txt,1,0,0.0,0.3259,Grey Zone (Mixed/Edited)
CPG4509_InSanctamPelagiam.xml,1,0,0.0,0.3278,Grey Zone (Mixed/Edited)
CPG4591_InPublicanumEtPharisaeum.xml,2,1,50.0,0.3367,Grey Zone (Mixed/Edited)
CPG4631_DePaenitentia.xml,1,0,0.0,0.3447,Grey Zone (Mixed/Edited)
CPG4572_InPetrumEtPaulum.xml,2,1,50.0,0.3488,Grey Zone (Mixed/Edited)
CPG4660_InIlludExiitQuiSeminat.xml,2,1,50.0,0.3542,Grey Zone (Mixed/Edited)
CPG4633_DeCaritate.xml,1,0,0.0,0.359,Grey Zone (Mixed/Edited)
CPG4650_InChristiNatalemDiem.xml,1,0,0.0,0.3731,Grey Zone (Mixed/Edited)
CPG4641_InMeretricemEtInPharisaeum.xml,1,0,0.0,0.3751,Grey Zone (Mixed/Edited)
CPG4700_InIlludSimileEstRegnumCaelorumGranoSinapis.xml,2,0,0.0,0.3793,Grey Zone (Mixed/Edited)
CPG4732_InMagnamFeriamQuintam.txt,1,0,0.0,0.3808,Grey Zone (Mixed/Edited)
CPG4987_OratioInIohannemTheologum.txt,2,0,0.0,0.3901,Grey Zone (Mixed/Edited)
AsteriusIgnotus_InPsalmum8homilia1.txt,1,0,0.0,0.3903,Grey Zone (Mixed/Edited)
CPG4733_DeMeretrice.xml,1,0,0.0,0.3905,Grey Zone (Mixed/Edited)
CPG4652_InMediamPentecosten.xml,1,0,0.0,0.3968,Grey Zone (Mixed/Edited)
CPG3177_InLuciferamSanctamDominiResurrectionem.xml,1,0,0.0,0.3982,Grey Zone (Mixed/Edited)
CPG4646_InTransfigurationem.xml,1,0,0.0,0.3984,Grey Zone (Mixed/Edited)
CPG4534_InAscensionemDominiSermo4.xml,2,0,0.0,0.3991,Grey Zone (Mixed/Edited)
CPG4673_InResurrectionemDomini.xml,1,0,0.0,0.4071,Grey Zone (Mixed/Edited)
CPG4593_DeIohanneApostolo.xml,3,2,66.67,0.4142,Grey Zone (Mixed/Edited)
CPG4588_InParabolamDeFicu.xml,3,1,33.33,0.4182,Grey Zone (Mixed/Edited)
CPG4515_DeSanctaTheclaMartyre.xml,1,0,0.0,0.4454,Grey Zone (Mixed/Edited)
PsGregorNyss_2017036_DeParadiso.xml,2,1,50.0,0.4519,Grey Zone (Mixed/Edited)
CPG4442_InPoenitentiamNinivitarum.xml,3,1,33.33,0.4547,Grey Zone (Mixed/Edited)
CPG4649_InPharisaeumEtInMeretricem.xml,5,0,0.0,0.4591,Grey Zone (Mixed/Edited)
AsteriusIgnotus_InPsalmum8homilia4.txt,1,0,0.0,0.4645,Grey Zone (Mixed/Edited)
CPG4707_DePrecatione.xml,1,0,0.0,0.4653,Grey Zone (Mixed/Edited)
CPG4747_InPassionemSalvatoris.xml,1,0,0.0,0.4692,Grey Zone (Mixed/Edited)
CPG4566_DeIoseph.xml,2,0,0.0,0.4707,Foreign Author
CPG5807_InTransfigurationemDomini.txt,2,1,50.0,0.4737,Foreign Author
CPG4663_InFiliumViduae.xml,2,1,50.0,0.474,Foreign Author
CPG4637_InRachelem.xml,1,0,0.0,0.4843,Foreign Author
CPG4600_InSanctumStephanum.xml,1,0,0.0,0.485,Foreign Author
CPG4677_InAnnuntiationemDeiparae.xml,3,1,33.33,0.487,Foreign Author
CPG4601_InMediamHebdomadamIeiuniorum.xml,1,0,0.0,0.488,Foreign Author
CPG4703_DeCognitioneDei.xml,1,0,0.0,0.4885,Foreign Author
CPG5806_InSanctaTheophania.txt,1,0,0.0,0.4962,Foreign Author
CPG2930_HomiliaInAquas.xml,1,0,0.0,0.512,Foreign Author
AsteriusIgnotus_InPsalmum5homilia6.txt,2,0,0.0,0.5142,Foreign Author
CPG4531_InAscensionemSermo1.xml,1,0,0.0,0.515,Foreign Author
CPG4580_InDecemVirgines.xml,2,1,50.0,0.5173,Foreign Author
CPG3187_InStephanumProtomartyremII.xml,3,1,33.33,0.518,Foreign Author
CPG3767_InRamosPalmarum.txt,3,1,33.33,0.5188,Foreign Author
CPG4511_DeProditioneIudae.xml,1,0,0.0,0.5221,Foreign Author
CPG4758_InChristiNatalem.xml,1,0,0.0,0.5262,Foreign Author
CPG4643_InRamosPalmarum.xml,3,1,33.33,0.5551,Foreign Author
CPG4533_InAscensionemSermo3.xml,1,0,0.0,0.5609,Foreign Author
PSBasilius_2040013_DeSpiritu.xml,1,0,0.0,0.5718,Foreign Author
CPG5031_DeAnnuntiatione.txt,2,0,0.0,0.5726,Foreign Author
PsBasilius_2040053_InPsalmum28.txt,2,0,0.0,0.5739,Foreign Author
CPG4769_InIlludNoliAemulariInMalignanibus.txt,3,0,0.0,0.577,Foreign Author
CPG4691_InSanctumStephanumHomilia2.xml,1,0,0.0,0.5784,Foreign Author
CPG4599_InExaltationemVenerandaeCrucis.xml,2,1,50.0,0.5812,Foreign Author
CPG4575_InSanctumStephanumProtomartyrem.xml,4,1,25.0,0.584,Foreign Author
CPG4671_InPrincipiumIeiuniorum.xml,2,0,0.0,0.5894,Foreign Author
CPG4586_InPrincipiumIndictionisInMartyres.xml,2,0,0.0,0.59,Foreign Author
CPG4524_InSanctaEtMagnaParasceue.xml,3,1,33.33,0.595,Foreign Author
CPG4625_ContraHaereticos.xml,2,0,0.0,0.5956,Foreign Author
CPG4662_DeIeiunio.txt,2,1,50.0,0.5986,Foreign Author
CPG4548_InPsalmum92.txt,3,1,33.33,0.6015,Foreign Author
CPG4661_InDrachmam.xml,2,0,0.0,0.6023,Foreign Author
AsteriusIgnotus_InPsalmum18.txt,3,1,33.33,0.6053,Foreign Author
CPG4850_LaudatioPauliApostoli.txt,2,1,50.0,0.6068,Foreign Author
AsteriusIgnotus_InPsalmum11homilia1.txt,2,0,0.0,0.6068,Foreign Author
CPG7385_InSanctaTheophaniaHomilia4.txt,3,0,0.0,0.612,Foreign Author
CPG4681_InLazarumHomilia2.xml,2,0,0.0,0.6126,Foreign Author
PsBasilius_2040056_HomiliaInPsalmum132.txt,1,0,0.0,0.6216,Foreign Author
CPG4567_DeSusanna.xml,3,1,33.33,0.6221,Foreign Author
PsGregorNyss_2017051_InAnnuntiationem.xml,2,0,0.0,0.624,Foreign Author
CPG4757_InIlludCredidiPropterQuodLocutusSum.xml,2,0,0.0,0.6303,Foreign Author
CPG4736_InNativitatemIohannisBaptistae.xml,2,0,0.0,0.6345,Foreign Author
CPG4565_InEliamProphetam.xml,2,0,0.0,0.6346,Foreign Author
CPG4570_InDecollationemSanctiIohannis.xml,3,0,0.0,0.6378,Foreign Author
CPG4547_InPsalmum75.xml,3,0,0.0,0.6395,Foreign Author
CPG4726_InNataleDominiEtInSantamMariamGenetricem.xml,2,0,0.0,0.6453,Foreign Author
CPG4918_InCaecumNatum.txt,2,0,0.0,0.6592,Foreign Author
CPG4727_VisioDanielis.xml,2,1,50.0,0.6633,Foreign Author
CPG4552_2_InPsalmum118Homilia2.xml,1,0,0.0,0.6649,Foreign Author
CPG4630_DeNonIudicandoProximo.xml,2,0,0.0,0.6656,Foreign Author
CPG4628_DeAnnuntiationemSanctissimaeDeiparae.xml,2,0,0.0,0.6663,Foreign Author
CPG4504_ChristiDiscipulumBenignumEsseDebere.xml,2,0,0.0,0.6718,Foreign Author
AsteriusIgnotus_InPsalmum7.txt,4,1,25.0,0.6736,Foreign Author
CPG4729_InRecensBaptizatos.txt,1,0,0.0,0.6766,Foreign Author
CPG2270_InNatalemChristiDiem.txt,3,0,0.0,0.6808,Foreign Author
CPG4584_DeCirco.xml,2,0,0.0,0.6813,Foreign Author
CPG4696_SermoHortatoriusDeTemperantia.xml,1,0,0.0,0.6904,Foreign Author
AsteriusIgnotus_InPsalmum5homilia3.txt,2,0,0.0,0.6905,Foreign Author
CPG4574_InSanctumThomamApostolum.xml,2,0,0.0,0.6912,Foreign Author
CPG4693_DePatientiaEtDeConsummationeHuiusSaeculi.xml,3,0,0.0,0.6964,Foreign Author
CPG4702_InEvangeliiDictumEtDeVirginitate.xml,3,0,0.0,0.7008,Foreign Author
CPG4966_SermoDeAgricolisInVineaLaborantibus.txt,2,0,0.0,0.7017,Foreign Author
CPG4759_EncomiumInSanctosMartyres.xml,1,0,0.0,0.7048,Foreign Author
CPG4636_InIlludMemorFuiDei.xml,6,0,0.0,0.7082,Foreign Author
CPG4854_InDivitemEtLazarum.txt,1,0,0.0,0.7098,Foreign Author
CPG4675_DeIeiunio.xml,1,0,0.0,0.7109,Foreign Author
CPG4871_OratioDeNativitate.txt,1,0,0.0,0.7116,Foreign Author
CPG4665_InIngressumSanctorumIeiuniorum.xml,1,0,0.0,0.714,Foreign Author
CPG4969_InIlludHominisCuiusdamDivitisUberesFructusAger.txt,2,0,0.0,0.7173,Foreign Author
CPG4689_InNovamDominicamEtInApostolumThomam.xml,2,0,0.0,0.7182,Foreign Author
CPG4552_3_InPsalmum118Homilia3.xml,1,0,0.0,0.7188,Foreign Author
CPG5059_InIlludNemoPotestDuobusDominisServire.txt,2,0,0.0,0.7214,Foreign Author
CPG4651_InIlludAscenditDominusInTemplo.xml,2,0,0.0,0.7279,Foreign Author
CPG4653_InSamaritanam.xml,1,0,0.0,0.7337,Foreign Author
CPG4642_InAssumptionemDNIC.xml,1,0,0.0,0.7392,Foreign Author
CPG5003_DeSamaritanam.txt,2,0,0.0,0.7419,Foreign Author
CPG4589_DePharisaeo.xml,1,0,0.0,0.7467,Foreign Author
CPG4680_InLazarumHomilia1.xml,3,0,0.0,0.7507,Foreign Author
CPG4634_CaritatemSecundumDeum.xml,1,0,0.0,0.7528,Foreign Author
AsteriusIgnotus_InPsalmum12homilia1.txt,2,0,0.0,0.7562,Foreign Author
AsteriusIgnotus_InPsalmum8homilia2.txt,2,0,0.0,0.7654,Foreign Author
CPG4552_1_InPsalmum118Homilia1.XML,1,0,0.0,0.7687,Foreign Author
CPG4604_InLatronem.xml,2,0,0.0,0.7766,Foreign Author
PsGregorNyss_2017034_DeCreationeHominis1.xml,5,0,0.0,0.7795,Foreign Author
CPG5045_InAdamEtInSodomitas.txt,2,0,0.0,0.7804,Foreign Author
CPG4694_DePaenitentiaEtInLectionemDeDavideEtDeUxoreUriae.xml,2,1,50.0,0.7815,Foreign Author
CPG4550_InPsalmum100.xml,4,0,0.0,0.7853,Foreign Author
AsteriusIgnotus_InPsalmum8homilia3.txt,2,0,0.0,0.7855,Foreign Author
CPG3770_InAssumptioneChristi.txt,2,0,0.0,0.7883,Foreign Author
CPG5073_QuodDebetEpiscopusDocere.txt,2,0,0.0,0.7897,Foreign Author
AsteriusIgnotus_InPsalmum11homilia2.txt,3,0,0.0,0.7904,Foreign Author
CPG3172_ContraFornicarios.xml,2,0,0.0,0.7915,Foreign Author
CPG4635_InProditionemIudae.xml,1,0,0.0,0.797,Foreign Author
CPG4870_InIlludVigilateEtOrate.txt,1,0,0.0,0.8116,Foreign Author
Anonymus_DePaenitentia.txt,3,0,0.0,0.817,Foreign Author
CPG4655_InIlludHomoQuidamDescendebat.xml,1,0,0.0,0.8175,Foreign Author
AsteriusIgnotus_InPsalmum6.txt,3,0,0.0,0.8182,Foreign Author
CPG4669_InIlludIgnemVeniMittereInTerram.txt,2,0,0.0,0.8187,Foreign Author
CPG4656_InNataleIohannisProphetae.xml,3,0,0.0,0.8204,Foreign Author
AsteriusIgnotus_InPsalmum5homilia4.txt,1,0,0.0,0.8307,Foreign Author
CPG4695_DeIisQuiInIeiunioContinenterVivunt.xml,1,0,0.0,0.843,Foreign Author
CPG4917_DeFideEtContraHaereticos.txt,2,0,0.0,0.8493,Foreign Author
CPG4644_InLaudemSanctiIohannis1.xml,1,0,0.0,0.8505,Foreign Author
CPG4199_InMeretricemEtPharisaeum.txt,3,0,0.0,0.8515,Foreign Author
CPG4587_InIlludSimileEstRegnumCaelorumPatrifamilias.xml,5,0,0.0,0.8552,Foreign Author
CPG4640_InIlludExeuntesPharisaei.xml,3,0,0.0,0.8557,Foreign Author
AsteriusIgnotus_InPsalmum4homilia1.txt,3,0,0.0,0.8573,Foreign Author
CPG4602_InRamosPalmarum.xml,3,0,0.0,0.8605,Foreign Author
CPG5023_DeNavitateIohannisBaptistae.txt,2,0,0.0,0.8608,Foreign Author
CPG5074_HomiliaInPsalmum71.txt,2,0,0.0,0.8654,Foreign Author
CPG4520_InIlludExiitEdictum.xml,3,0,0.0,0.8725,Foreign Author
CPG4751_InSanctumPascha.xml,1,0,0.0,0.8726,Foreign Author
CPG4896_InOrationemPaterNoster.txt,3,0,0.0,0.8741,Foreign Author
CPG4984_InPharisaeumEtMeretricem.txt,3,0,0.0,0.8749,Foreign Author
CPG4190_InPsalmum96.txt,6,0,0.0,0.8759,Foreign Author
CPG4560_InNatalemChristiDiem.xml,4,0,0.0,0.8803,Foreign Author
AsteriusIgnotus_InPsalmum14.txt,2,0,0.0,0.8816,Foreign Author
